DATE;YEAR;Train;ID;URL;PLAIN_ML;PLAIN_WO;DEFEN_ML;RQ_JOINT;PCI+;PCI-;RQ_FH_AT;RQ_FH_SP;PVF+;PVF-;RQ_MP_AT;RQ_MP_SP;PPA+;PPA-;CD_JOINT;CD_JO_CF;WIN_SL;WINWIN;DCI+;DCI=;DCI-;CD_FH_AT;CD_FH_SP;DVF+;DVF-;CD_MP_AT;CD_MP_SP;DPA+;DPA-;LP_BI_SL_b;LP_BI_JN_b;LP_BI_SL;LP_BI_JN;LP_BI_b;LP_BI;LP_PE_SL_b;LP_PE_JN_b;LP_PE_SL;LP_PE_JN;LP_PE_b;LP_PE;LP_RA_SL_b;LP_RA_JN_b;LP_RA_SL;LP_RA_JN;LP_RA_b;LP_RA;LP_RJ_SL_b;LP_RJ_JN_b;LP_RJ_SL;LP_RJ_JN;LP_RJ_b;LP_RJ;FT_RP_SL_b;FT_RP_JN_b;FT_RP_SL;FT_RP_JN;FT_RP_b;FT_RP;FT_CW_SL_b;FT_CW_JN_b;FT_CW_SL;FT_CW_JN;FT_CW_b;FT_CW;FT_CC_SL_b;FT_CC_JN_b;FT_CC_SL;FT_CC_JN;FT_CC_b;FT_CC;FT_CR_SL_b;FT_CR_JN_b;FT_CR_SL;FT_CR_JN;FT_CR_b;FT_CR;FT_RA_SL_b;FT_RA_JN_b;FT_RA_SL;FT_RA_JN;FT_RA_b;FT_RA;FT_RD_SL_b;FT_RD_JN_b;FT_RD_SL;FT_RD_JN;FT_RD_b;FT_RD;FT_PD_SL_b;FT_PD_JN_b;FT_PD_SL;FT_PD_JN;FT_PD_b;FT_PD;FT_AG_SL_b;FT_AG_JN_b;FT_AG_SL;FT_AG_JN;FT_AG_b;FT_AG;LN_JNPREF_b;LN_JNPREF;FT_SL_IN_b;FT_JN_IN_b;FT_SL_IN;FT_JN_IN;JUDGE_ML;
43950;2020;0;APM_2020_3609;http://labje.unizar.es/sentencias/APM_2020_3609.pdf;1;0;0;1;0;3;0;0;0;0;0;1;0;1;0;0;0;0;5;0;0;0;0;0;0;1;0;1;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;
43901;2020;0;APM_2020_3623;http://labje.unizar.es/sentencias/APM_2020_3623.pdf;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;-1;-2;0;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;3;2;-1;-1;0;0;0;0;0;0;0;0;3;4;6;5;0;
43973;2020;0;APM_2020_4335;http://labje.unizar.es/sentencias/APM_2020_4335.pdf;0;1;1;0;3;0;1;0;2;0;1;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;2;0;2;0;
43980;2020;0;APM_2020_4338;http://labje.unizar.es/sentencias/APM_2020_4338.pdf;1;0;0;1;0;2;0;0;0;0;0;1;0;4;0;0;0;0;2;0;0;0;0;0;0;1;0;2;0;1;0;3;0;-1;-3;0;0;0;0;0;0;1;0;2;0;-1;-2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;-1;-2;1;0;2;0;-1;-2;1;0;1;0;-1;-1;1;0;2;0;-1;-2;1;1;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;9;3;0;
43969;2020;0;APM_2020_4343;http://labje.unizar.es/sentencias/APM_2020_4343.pdf;0;1;1;0;2;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;2;0;1;0;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;3;1;1;2;1;-1;-1;1;0;2;0;-1;-2;0;0;0;0;0;0;0;0;3;2;5;4;1;
43969;2020;0;APM_2020_4348;http://labje.unizar.es/sentencias/APM_2020_4348.pdf;1;0;0;1;0;4;0;1;0;2;0;1;0;7;0;0;0;0;2;0;0;1;0;3;0;1;0;2;0;1;0;2;0;-1;-2;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;-1;-6;1;0;6;0;-1;-6;0;0;0;0;0;0;1;0;3;0;-1;-3;1;1;7;1;-1;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;22;1;0;
43973;2020;0;APM_2020_4354;http://labje.unizar.es/sentencias/APM_2020_4354.pdf;1;0;0;0;2;0;0;0;0;0;0;1;0;3;0;1;0;0;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;-1;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;1;5;0;1;0;4;1;4;1;1;3;5;1;2;1;1;3;2;-1;-1;0;1;0;2;1;2;0;0;0;0;0;0;0;0;2;5;6;18;0;
43980;2020;0;APM_2020_4390;http://labje.unizar.es/sentencias/APM_2020_4390.pdf;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;-1;-2;1;1;1;3;1;2;0;0;0;0;0;0;1;0;1;0;-1;-1;0;0;3;1;4;3;1;
43987;2020;0;APM_2020_5377;http://labje.unizar.es/sentencias/APM_2020_5377.pdf;1;0;0;1;0;2;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;2;0;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;-1;-2;1;0;1;0;-1;-1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;2;0;
43994;2020;0;APM_2020_5388;http://labje.unizar.es/sentencias/APM_2020_5388.pdf;0;1;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;3;0;1;0;5;1;5;1;0;1;0;-1;-1;0;0;0;0;0;0;0;0;1;2;1;8;1;
